="Ärende (År:nr)";="Registreringsdatum";="Ärendemening"
="SI 2026:8596";="2026-08-30";="Uppgift om Lunds Montessorigrundskola med huvudmannen FÖRENINGEN LUNDS MONTESSORIGRUNDSKOLA i Lunds kommun "
="SI 2026:8595";="2026-08-30";="Ansökan om betygsrätt för vuxenutbildning från Twimny AB i Ej relevant "
="SI 2026:8594";="2026-08-30";="Uppgift om Kramfors gymnasium med huvudmannen KRAMFORS KOMMUN i Kramfors kommun "
="SI 2026:8593";="2026-08-30";="Uppgift om Vallhallaskolan F-9 med huvudmannen OSKARSHAMNS KOMMUN i Oskarshamns kommun "
="SI 2026:8592";="2026-08-30";="Uppgift om Innovitaskolan Södertälje med huvudmannen Kringlaskolan AB i Södertälje kommun "
="SI 2026:8591";="2026-08-30";="Uppgift om Gåvsta skola med huvudmannen UPPSALA KOMMUN i Uppsala kommun "
="SI 2026:8590";="2026-08-30";="Uppgift om Ramunderskolan med huvudmannen SÖDERKÖPINGS KOMMUN i Söderköpings kommun "
="SI 2026:8589";="2026-08-29";="Uppgift om Malmaskolan med huvudmannen FLENS KOMMUN i Flens kommun "
="SI 2026:8588";="2026-08-29";="Uppgift om Tundalsskolan med huvudmannen ROBERTSFORS KOMMUN i Robertsfors kommun "
="SI 2026:8587";="2026-08-29";="Uppgift om Malmaskolan med huvudmannen FLENS KOMMUN i Flens kommun "
="SI 2026:8586";="2026-08-29";="Uppgift om Innovitaskolan Rudan med huvudmannen AcadeMedia Grundskolor AB i Haninge kommun "
="SI 2026:8585";="2026-08-29";="Uppgift om Navetskolan med huvudmannen KARLSHAMNS KOMMUN i Karlshamns kommun "
="SI 2026:8584";="2026-08-29";="Uppgift om Erikslundskolan F-6 med huvudmannen BORÅS KOMMUN i Borås kommun "
="SI 2026:8583";="2026-08-29";="Uppgift om Silverskolan med huvudmannen ARJEPLOGS KOMMUN i Arjeplogs kommun "
="SI 2026:8582";="2026-08-29";="Uppgift om Måsöskolan med huvudmannen HANINGE KOMMUN i Haninge kommun "
="SI 2026:8581";="2026-08-29";="Uppgift om Södermalmsskolan 4-6 med huvudmannen KRISTINEHAMNS KOMMUN i Kristinehamns kommun "
="SI 2026:8580";="2026-08-29";="Uppgift om Berga naturbruksgymnasium med huvudmannen DILLE GÅRD AB i Haninge kommun "
="SI 2026:8579";="2026-08-29";="Uppgift om Förskolan Beväringsgatan 3 med huvudmannen GÖTEBORGS KOMMUN i Göteborgs kommun "
